transaction_id,scan_end_ns,image_index,image_ns,signed_mismatch_ms,abs_mismatch_ms,eligible
2500,1660857645837879256,6079,1660857645817314588,-20.564668,20.564668,0
2501,1660857645938739374,6082,1660857645947865922,9.126548,9.126548,1
2502,1660857646039543465,6084,1660857646029334442,-10.209023,10.209023,1
2503,1660857646140403345,6087,1660857646143229948,2.826603,2.826603,1
2504,1660857646241262272,6089,1660857646233014538,-8.247734,8.247734,1
2505,1660857646342122391,6092,1660857646355227348,13.104957,13.104957,1
2506,1660857646442982271,6093,1660857646436705020,-6.277251,6.277251,1
2507,1660857646543842390,6096,1660857646558912988,15.070598,15.070598,1
2508,1660857646644702271,6098,1660857646640392316,-4.309955,4.309955,1
2509,1660857646745562390,6101,1660857646762606372,17.043982,17.043982,1
2510,1660857646846422270,6103,1660857646844080020,-2.34225,2.34225,1
2511,1660857646947282389,6106,1660857646966289572,19.007183,19.007183,1
2512,1660857647048086480,6108,1660857647047780116,-0.306364,0.306364,1
2513,1660857647148946360,6110,1660857647129248444,-19.697916,19.697916,1
2514,1660857647249806479,6113,1660857647251456700,1.650221,1.650221,1
2515,1660857647350666359,6115,1660857647332932316,-17.734043,17.734043,1
2516,1660857647451526478,6118,1660857647455148444,3.621966,3.621966,1
2517,1660857647552386358,6120,1660857647536619124,-15.767234,15.767234,1
2518,1660857647653246477,6123,1660857647658835476,5.588999,5.588999,1
2519,1660857647754106358,6125,1660857647740305380,-13.800978,13.800978,1
2520,1660857647854966477,6128,1660857647870863649,15.897172,15.897172,1
2521,1660857647955826357,6130,1660857647952322225,-3.504132,3.504132,1
2522,1660857648056629256,6133,1660857648074538777,17.909521,17.909521,1
2523,1660857648157489374,6135,1660857648156009649,-1.479725,1.479725,1
2524,1660857648258348301,6137,1660857648237502385,-20.845916,20.845916,0
2525,1660857648359208420,6139,1660857648359699321,0.490901,0.490901,1
2526,1660857648460068301,6141,1660857648441189609,-18.878692,18.878692,1
2527,1660857648560928419,6144,1660857648571730102,10.801683,10.801683,1
2528,1660857648661788300,6146,1660857648653194814,-8.593486,8.593486,1
2529,1660857648762648419,6149,1660857648767080937,4.432518,4.432518,1
2530,1660857648863508299,6151,1660857648848550609,-14.95769,14.95769,1
2531,1660857648964368418,6154,1660857648970757969,6.389551,6.389551,1
2532,1660857649065172270,6156,1660857649052240033,-12.932237,12.932237,1
