segment,total,attempted,visual_valid,coverage,paired,visual_t_rmse_m,visual_r_rmse_deg,ikfom_t_rmse_m,ikfom_r_rmse_deg,visual_scan_gt_t_rmse_m,visual_scan_gt_r_rmse_deg,visual_better_t,ikfom_better_t,visual_better_r,ikfom_better_r
0-50,490,442,234,0.4775510204081633,234,0.009424335791439024,0.4421242694237176,0.014449225015606906,0.42109913802687826,0.011781144812466398,0.5377968099100432,173,61,142,92
50-100,496,444,55,0.11088709677419355,55,0.023469653846999644,0.7833198435465486,0.0211259281571958,0.7089149670113161,0.03280164470759642,1.0080479454556799,36,19,26,29
100-150,495,463,420,0.8484848484848485,420,0.03985078186291568,0.9144956788142388,0.03957014794245694,0.914121024224909,0.04685913258333449,1.0646149796673299,243,177,197,223
150-200,496,456,423,0.8528225806451613,423,0.027019599653599593,0.9087829200187966,0.27089448606764244,0.8738304033213216,0.03374391190234681,1.0340712520165931,412,11,209,214
200-250,495,451,67,0.13535353535353536,67,0.024693569742656175,0.6685465820182441,0.2652208578963221,0.687310008348348,0.029248568003367482,0.8356403793791476,66,1,35,32
250-300,496,456,202,0.40725806451612906,202,0.04214451370340057,0.6913192904874124,0.1697875607529149,0.5435683018161831,0.04425136174134439,0.7328121735343387,172,30,82,120
300-350,496,448,55,0.11088709677419355,55,0.034701082290374434,0.9509476433724726,0.17858322207297897,0.7264230262392759,0.03530012806911086,1.0587888951458948,42,13,22,33
350-end,662,591,346,0.5226586102719033,346,0.012574717998928462,0.43668490802446913,0.43983004958702426,0.3614394015313392,0.015369243545807695,0.4706905621430324,346,0,135,211
