component,mean,rmse,median,p95,max
feature_ms,6.242740493391546,6.558278796837452,6.13659099326469,9.716514497995377,25.74387501226738
klt_ms,9.390182214951038,10.986745585320813,8.048863004660234,19.534403501893394,34.88883702084422
depth_ms,3.909261128069114,3.9942575388763375,3.7766329769510776,4.865852490183897,13.418380985967815
projection_ms,2.3956962002390885,2.4547747760351304,2.289557975018397,3.1664235139032826,7.250709022628143
association_ms,1.4957574898453658,1.550533602430133,1.4409089926630259,1.7801309877540916,11.14900698303245
pnp_ms,0.4034392515963236,0.8158808263802879,0.0,1.3870254915673286,11.134269996546209
preprocess_ms,3.653072053737272,3.842772869666,3.1315030064433813,6.111273498390801,19.600649015046656
total_ms,23.620814138628834,24.56524339568647,22.647363017313182,35.36149348656181,51.75838799914345
