frame_stamp,crossing_group,bag_stamp_delta_ns,persistent_crossing_s,selected_offset_after_crossing_s,alpha,raw_source_points,preprocessed_source_points,target_points,initial_t_error_m,initial_r_error_deg,final_t_error_m,final_r_error_deg,fitness,iterations,converged,final_tx,final_ty,final_tz,final_qx,final_qy,final_qz,final_qw,alpha0_raw_ndt_pose_delta_t_m,alpha0_raw_ndt_pose_delta_r_deg,saved_raw_ndt_fitness,saved_raw_ndt_fitness_delta
1660857479.629979610,0p5m,-163,84.91932845115662,1.5128440856933594,0.0,28662,1400,549606,0.6014459177555109,0.2658204942294752,0.6132193303055457,0.5793315005498044,0.142627056193,2,1,18.711101532,0.836998939514,4.06027698517,-0.0190856326371,0.008779107593,-0.0786794573069,0.996678590775,5.960448747175732e-08,1.3487692734173337e-05,0.14262702522942813,3.0963571873154905e-08
1660857479.629979610,0p5m,-163,84.91932845115662,1.5128440856933594,0.25,28662,1400,549606,0.45108443831663286,0.19936537067210525,0.5772919812774021,0.8443877136891529,0.140581998134,3,1,18.7037448883,0.832296252251,4.10116147995,-0.0209994819015,0.0105983475223,-0.078723564744,0.996618926525,,,,
1660857479.629979610,0p5m,-163,84.91932845115662,1.5128440856933594,0.5,28662,1400,549606,0.30072295887775735,0.13291024711473823,0.6645574551159948,1.7038616376585782,0.134791430849,8,1,18.7064533234,0.824232935905,4.00578832626,-0.0223339274526,0.0180744379759,-0.0793985575438,0.996428847313,,,,
1660857479.629979610,0p5m,-163,84.91932845115662,1.5128440856933594,0.75,28662,1400,549606,0.15036147943887795,0.06645512355736755,0.660843551780505,1.6835856915318506,0.134845882041,10,1,18.7064971924,0.824909329414,4.0097079277,-0.0221467558295,0.0179452840239,-0.0793824270368,0.996436595917,,,,
1660857479.629979610,0p5m,-163,84.91932845115662,1.5128440856933594,1.0,28662,1400,549606,3.580361673049448e-15,2.656856882173795e-15,0.6657075022588135,1.7164946534677017,0.134798457846,13,1,18.7082481384,0.824934065342,4.00478124619,-0.0223979670554,0.0181713625789,-0.0793645977974,0.996428310871,,,,
1660857488.303433418,1m,-163,93.5928385257721,1.5127878189086914,0.0,28819,1400,549606,1.1213412695163392,0.8050403173062728,1.1197862271883188,0.36256256427398015,0.055835162254,1,1,30.7265605927,2.45924639702,3.43553805351,-0.00772832799703,0.00580152031034,0.0378353819251,0.999237239361,4.871913961305046e-11,1.9844217305907062e-05,0.055834867119150915,2.9513484908760823e-07
1660857488.303433418,1m,-163,93.5928385257721,1.5127878189086914,0.25,28819,1400,549606,0.8410059521372545,0.6037802379797046,1.078685054527377,1.2160116272749453,0.0396532875714,4,1,30.7419929504,2.46511173248,3.47950029373,-0.00883634854108,0.016591174528,0.0376135371625,0.999115586281,,,,
1660857488.303433418,1m,-163,93.5928385257721,1.5127878189086914,0.5,28819,1400,549606,0.5606706347581697,0.4025201586531365,1.087476401950938,1.2794598149138252,0.0394541213788,9,1,30.747713089,2.4652121067,3.47071862221,-0.0083275930956,0.0170495118946,0.0376355685294,0.999111413956,,,,
1660857488.303433418,1m,-163,93.5928385257721,1.5127878189086914,0.75,28819,1400,549606,0.280335317379084,0.2012600793265683,1.0856753520425217,1.2868973504572945,0.0394878340365,14,1,30.7492618561,2.46561145782,3.47272467613,-0.00851206108928,0.0171582754701,0.0376651771367,0.999106884003,,,,
1660857488.303433418,1m,-163,93.5928385257721,1.5127878189086914,1.0,28819,1400,549606,3.5596458096434965e-15,1.205274631713654e-15,0.38187367097718117,1.6309893028808198,0.133894168965,6,1,30.7419300079,2.49820804596,4.49779605865,-0.024512546137,0.0100925872102,0.0389654114842,0.998888850212,,,,
1660857546.193810225,2m,75,151.48321318626404,1.5127899646759033,0.0,24130,1400,549606,2.5032583710069582,10.470422712988393,2.4596511489044444,10.45203959104055,2.62043538042,2,1,47.7963676453,33.0331001282,1.83723151684,-0.0101759945974,-0.0656174346805,-0.821336686611,0.566565930843,3.814733589357858e-06,7.5073337821254016e-06,2.620433815844361,1.5645756388238397e-06
1660857546.193810225,2m,75,151.48321318626404,1.5127899646759033,0.25,24130,1400,549606,1.8774437782552207,7.852817034741291,2.0498286064212516,7.893416499563876,1.86649222392,5,1,47.5792121887,33.4744300842,1.89177191257,-0.0155042978004,-0.0697815939784,-0.833443105221,0.547962486744,,,,
1660857546.193810225,2m,75,151.48321318626404,1.5127899646759033,0.5,24130,1400,549606,1.2516291855034818,5.2352113564941956,1.6067508337980883,2.0245822889042864,0.186462598758,20,1,47.5044708252,34.2683563232,1.91134119034,0.0267508085817,0.0784609913826,0.865436255932,-0.494113653898,,,,
1660857546.193810225,2m,75,151.48321318626404,1.5127899646759033,0.75,24130,1400,549606,0.6258145927517422,2.6176056782471053,1.5999291457611433,1.8485568513780117,0.18445721554,15,1,47.5320701599,34.2594985962,1.93399524689,0.0248300991952,0.0811316072941,0.86540466547,-0.493837922812,,,,
1660857546.193810225,2m,75,151.48321318626404,1.5127899646759033,1.0,24130,1400,549606,7.993605777301127e-15,1.1903263000918216e-14,1.5847357502612887,1.8860852104727026,0.18714609896,31,1,47.5208778381,34.2839355469,1.93740940094,0.0256883967668,0.0770851224661,0.865865051746,-0.493635237217,,,,
1660857552.144209146,5m,-89,157.43361401557922,1.5127880573272705,0.0,22939,1400,549606,6.16010077545007,10.975984498957786,6.149915434062597,10.959634957724637,2.77767807603,3,1,47.7178840637,28.6063556671,1.86367404461,-0.0151236401871,-0.0078643290326,-0.817774534225,0.575286269188,2.5163596008136418e-11,2.7400852231084428e-06,2.777678076028325,1.6751044995544362e-12
1660857552.144209146,5m,-89,157.43361401557922,1.5127880573272705,0.25,22939,1400,549606,4.620075581587544,8.231988374218332,4.773376958135236,8.491478760502515,2.21845843256,5,1,46.5398635864,29.391046524,1.90796518326,-0.0166806709021,-0.0177176948637,-0.829892098904,0.557393014431,,,,
1660857552.144209146,5m,-89,157.43361401557922,1.5127880573272705,0.5,22939,1400,549606,3.0800503877250294,5.487992249478886,2.8263649998291136,7.21790662137356,1.78656808316,18,1,44.9998626709,30.8047981262,1.92899000645,-0.0217693950981,-0.0163242593408,-0.836266875267,0.547647178173,,,,
1660857552.144209146,5m,-89,157.43361401557922,1.5127880573272705,0.75,22939,1400,549606,1.5400251938625176,2.7439961247394433,1.451134729446868,1.5283506632165291,0.163342674536,18,1,43.5671615601,31.7502326965,2.03236317635,0.0235729198903,0.0197269897908,0.867351174355,-0.496746480465,,,,
1660857552.144209146,5m,-89,157.43361401557922,1.5127880573272705,1.0,22939,1400,549606,7.993605777301127e-15,1.6200700673996156e-14,1.4440704036984071,2.5056221783540904,0.156474223421,25,1,43.5352325439,31.7631778717,2.0203192234,0.0334759354591,0.00822702422738,0.869027137756,-0.493562012911,,,,
