window,offset_sec_from_first_imu,scan_start_stamp,raw_point_count,raw_message_hash_equal,legacy_point_count,imu_deskew_point_count,point_count_preserved_and_equal,ordered_point_delta_mean_m,ordered_point_delta_median_m,ordered_point_delta_p95_m,ordered_point_delta_max_m,legacy_xyz_sha256,imu_deskew_xyz_sha256,imu_deskew_status,imu_deskew_max_state_gap_sec,imu_deskew_state_samples_in_scan,imu_deskew_max_velocity_mps,imu_deskew_max_acc_world_mps2,imu_deskew_max_gyro_radps,imu_deskew_processing_ms,legacy_adapter_success,legacy_imu_coverage,legacy_velocity_seed_mps,legacy_full_delta_p95_m,imu_ndt_converged,imu_ndt_iterations,imu_pcl_registration_score,legacy_ndt_converged,legacy_ndt_iterations,legacy_pcl_registration_score,imu_initial_to_raw_ndt_translation_m,legacy_initial_to_raw_ndt_translation_m
normal,2.093887091,1660857394.609791040,28509,YES,28509,28509,YES,0.00583215773,0.00563256035,0.0115995758,0.0122896029,519436d00e1e7d5b9d0bf7281c574b150c8f1c6e4ddde795d0a220a3bc74bb9e,c93e6727fd23241286aa0ba600b066815271f1b2a6a6b0f3f8136368e983c75a,PUBLISHED,0.0050079822540283203,20,0.10513024628205661,0.4712856689381747,0.0035589219064113505,14.186915000000001,1,complete,0.055694074,0.005340645,1,1,0.29182107328473517,1,1,0.29760121063250283,0.0090195551906361877,0.0084499275354604653
normal,2.194746971,1660857394.710650921,28503,YES,28503,28503,YES,0.00554105135,0.00533782369,0.0110504886,0.011720348,b68a65dd1d5b99d228c04a46c438d4d6160a559cf4dfd342def9a52d598c3fc1,48344669fb3d05c0199e7108f3dfa9960b9a9ac56577adb1fe011b539b53223a,PUBLISHED,0.0050082206726074219,21,0.11877591652102101,0.48234754061354213,0.0038472753068821532,11.545914,1,complete,0.055579875,0.005296360,1,1,0.30946719164116077,1,1,0.28871251240679807,0.0026191151086269139,0.0090692466562768605
normal,2.295607090,1660857394.811511040,28474,YES,28474,28474,YES,0.00390590866,0.00373696745,0.00787212735,0.00836544342,a55ce27358972c8f384936721b10a2669d38f9ecc211fbfa467af24f4c975a63,dbcf1abe33cc64c734e0113995eeab581812f0fecc312a42acb4dda4c70c1bd0,PUBLISHED,0.0050079822540283203,20,0.1229462372109017,0.50415050446275367,0.0035488833248539346,13.200956,1,complete,0.058823061,0.005634411,1,1,0.29369955162868661,1,1,0.29909149059786094,0.005438973512662368,0.0082640856179442453
normal,2.396466970,1660857394.912370920,28500,YES,28500,28500,YES,0.00382111695,0.00379663182,0.00728209391,0.00766956952,82e053090a8dc89696690b01cf089e2b871f7c2ccda85320b5c6d437e9fe1b07,a8c27a1d1f3f6266721f9d62e91b815860da4c549048ee16ee637a23d27e8551,PUBLISHED,0.0050079822540283203,20,0.11969608065398958,0.49578530690662453,0.0036657153048725408,9.0305569999999999,1,complete,0.099600928,0.009523597,1,1,0.2818913537007055,1,1,0.27959083279759528,0.0048742102580099445,0.0032928842702961802
normal,2.497271061,1660857395.013175011,28479,YES,28479,28479,YES,0.00303112645,0.00299193171,0.00581483214,0.00613870983,2948ba67d5b53f949e3b2a7ee1af0903c3581411bda49bfd14af534fa248b130,6a49e8fcc66a6c613ef0e2b55cfbf6d8b077936997e2d273c41229aba4813b7d,PUBLISHED,0.0050079822540283203,20,0.14208640533760797,0.50319612353495569,0.0036674147855389055,11.610447000000001,1,complete,0.118961150,0.011386134,1,1,0.29359589520916157,1,1,0.29000295004551196,0.0053647070683695026,0.004426464892768902
normal,2.598130941,1660857395.114034891,28499,YES,28499,28499,YES,0.00210962729,0.00199646346,0.00434324187,0.00464018762,cc20ab546ebc34a5cc13aa58731efd37cf7475484c8afa9895fa81b0f32320be,ee298c3080e26f48361407ec20b489a178af62ae7507fe750c6f6150a6ed1168,PUBLISHED,0.0050082206726074219,20,0.12703744265689446,0.47608922943905063,0.0040288165294075579,11.714371999999999,1,complete,0.078382992,0.007506793,1,1,0.26954112787416307,1,1,0.26971677445309461,0.0068630795114000562,0.0030241018943114564
normal,2.698991060,1660857395.214895010,28478,YES,28478,28478,YES,0.00429497854,0.00423403006,0.00825462025,0.00871001762,f96b45d507f7f69170147f9bfeed2c927ae098814661c70b31010562c5357b4b,ccbd3519fcbb72e5d1427786aec8c74580a7e042c5a49cb26d53446096e69b4e,PUBLISHED,0.0050079822540283203,21,0.1419726101167422,0.44509160975553641,0.00360174034415997,10.52238,1,complete,0.096955263,0.009286565,1,1,0.26133964459808862,1,1,0.27425722012282289,0.0101446965389245,0.00089144880009713273
normal,2.799850941,1660857395.315754890,28475,YES,28475,28475,YES,0.00308065942,0.00291613021,0.00629791024,0.00670797995,f82ffcc0fdb0ce05a4c1bc5a82be83442a1323ce77afade7cd896d984fc19524,45fb11026c91ad1de40c14468eccb41ed1d00791e239e2430ab89d248296890b,PUBLISHED,0.0050082206726074219,20,0.15993087155417895,0.45203724826436786,0.004203491771775641,10.369706000000001,1,complete,0.089083309,0.008525793,1,1,0.25511866939967148,1,1,0.25816033382688536,0.0098634898732995746,0.0037522124045162916
normal,2.900711060,1660857395.416615009,28505,YES,28505,28505,YES,0.00287148775,0.0027210781,0.00584643104,0.00627540033,0c2bc4183908d04865e6b952bd96d83e9d69c938d73d3e2f33d8b63f776dd917,2ffe548e7664b48dc87f755de12f1dbdf3175e64d234bb945ad9a07f470c066b,PUBLISHED,0.0050079822540283203,20,0.11506213161102258,0.44062217477795806,0.0035090012500095876,13.186639,1,complete,0.057544506,0.005467605,1,1,0.25324575269050131,1,1,0.2440822028785416,0.0043425699218342774,0.0072164076807688911
normal,3.001570940,1660857395.517474890,28533,YES,28533,28533,YES,0.0030899239,0.00291974779,0.00633966605,0.00679946677,2a52b3912d2364a3f1167c167de8a4dcf0139c46b75010748b2e355ca111e1aa,feceb07f742a9124049eb923e5f4c3f8846808fa6409a65a5854022d477bd0f6,PUBLISHED,0.0050079822540283203,20,0.11461530992345242,0.42381031271082187,0.0039939414750770289,13.512801,1,complete,0.056001026,0.005467341,1,1,0.25894063981444299,1,1,0.26711885052824591,0.0043531683345719172,0.0098744713080350342
