lidar_header_stamp,run_a_n,run_b_n,run_c_n,run_a_b_cloud_hash_equal,run_a_b_max_abs_initial_raw_final_pose_component_diff,run_a_b_fitness_abs_diff,run_a_b_iterations_equal,run_a_b_convergence_equal,run_a_b_exact_diagnostics,run_c_matches_a_diagnostics,captured_point_xyz_hash_a_b_c_equal,captured_point_count_a_b_c,captured_raw_message_hash_a_b_c_equal
1660857421.235316992,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857421.336177111,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857421.437036991,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857421.537897110,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857421.638756990,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857421.739617109,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857421.840476990,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857421.941335917,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857422.042140007,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857422.142999887,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857422.243860006,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857422.344719887,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857422.445580006,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857422.546439886,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857422.647300005,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857422.748159885,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857422.849020004,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857422.949879885,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857423.050684929,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857423.151545048,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857423.252404928,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857423.353265047,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857423.454124928,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857423.554985046,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857423.655844927,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857423.756704092,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857423.857563972,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857423.958424091,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857424.059227943,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857424.160088062,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857424.260947943,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857424.361808062,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857424.462667942,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857424.563528061,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857424.664387941,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857424.765248060,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857424.866107941,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857424.966968060,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857425.067773104,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857425.168632984,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857425.269493103,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857425.370352983,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857425.471213102,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857425.572072029,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857425.672931910,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857425.773792028,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857425.874651909,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857425.975512028,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857426.076316118,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857426.177175999,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857426.278036118,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857426.378895998,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857426.479756117,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857426.580615997,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857426.681476116,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857426.782335997,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857426.883196115,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857426.984055996,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857427.084860086,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857427.185719967,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857427.286580086,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857427.387439013,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857427.488298893,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857427.589159012,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857427.690018892,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857427.790879011,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857427.891738892,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857427.992599010,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857428.093404055,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857428.194263935,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857428.295124054,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857428.395983934,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857428.496844053,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857428.597703934,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857428.698564053,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857428.799423933,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857428.900284052,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857429.001087904,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857429.101948023,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857429.202807903,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857429.303667068,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857429.404526949,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857429.505387068,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857429.606246948,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857429.707107067,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857429.807966948,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857429.908827066,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857430.009632111,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857430.110491991,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857430.211352110,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857430.312211990,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857430.413072109,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857430.513931990,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857430.614792109,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857430.715651989,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857430.816512108,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857430.917371988,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857431.018176079,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857431.119035006,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857431.219894886,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857431.320755005,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857431.421614885,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857431.522475004,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857431.623334885,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857431.724195004,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857431.825054884,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857431.925915003,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857432.026719093,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857432.127578974,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857432.228439093,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857432.329298973,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857432.430159092,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857432.531018972,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857432.631879091,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857432.732738972,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857432.833599091,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857432.934458017,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857433.035275936,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857433.136136055,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857433.236995935,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857433.337856054,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857433.438715935,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857433.539576054,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857433.640435934,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857433.741296053,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857433.842155933,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857433.943016052,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857434.043807030,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857434.144666910,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857434.245527029,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857434.346386909,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857434.447247028,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857434.548106909,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857434.648967028,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857434.749825954,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857434.850686073,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857434.951545954,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857435.052350998,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857435.153211117,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857435.254070997,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857435.354931116,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857435.455790997,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857435.556651115,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857435.657510996,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857435.758371115,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857435.859230995,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857435.960091114,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857436.060894966,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857436.161755085,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857436.262614965,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857436.363475084,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857436.464334965,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857436.565195084,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857436.666054010,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857436.766913891,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857436.867774010,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857436.968633890,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857437.069438934,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857437.170299053,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857437.271158934,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857437.372019053,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857437.472878933,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857437.573739052,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857437.674598932,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857437.775459051,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857437.876318932,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857437.977179050,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857438.077982903,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857438.178843021,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857438.279702902,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857438.380563021,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857438.481421947,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857438.582282066,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857438.683141947,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857438.784002066,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857438.884861946,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857438.985722065,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857439.086525917,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857439.187386036,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857439.288245916,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857439.389106035,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857439.489965916,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857439.590826035,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857439.691685915,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857439.792546034,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857439.893405914,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857439.994266033,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857440.095071077,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857440.195930958,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857440.296789885,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857440.397650003,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857440.498509884,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857440.599370003,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857440.700229883,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857440.801090002,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857440.901949883,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857441.002753973,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857441.103614092,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857441.204473972,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857441.305334091,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857441.406193972,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857441.507054090,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857441.607913971,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857441.708774090,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857441.809633970,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857441.910494089,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857442.011298895,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857442.112158060,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857442.213017941,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857442.313878059,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857442.414737940,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857442.515598059,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857442.616457939,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857442.717318058,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857442.818177938,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857442.919038057,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857443.019841909,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857443.120702028,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857443.221561909,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857443.322422028,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857443.423281908,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857443.524142027,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857443.625001907,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857443.725862026,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857443.826721907,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857443.927582026,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857444.028384924,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857444.129245043,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857444.230104923,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857444.330965042,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857444.431824923,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857444.532685041,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857444.633544922,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857444.734405041,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857444.835264921,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857444.936125040,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857445.036930084,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857445.137789965,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857445.238650084,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857445.339509964,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857445.440370083,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857445.541229963,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857445.642090082,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857445.742949009,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857445.843808889,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857445.944669008,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857446.045473099,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857446.146332979,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857446.247193098,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857446.348052979,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857446.448913097,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857446.549772978,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857446.650633097,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857446.751492977,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857446.852353096,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857446.953212976,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857447.054018021,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857447.154877901,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857447.255738020,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857447.356597900,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857447.457458019,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857447.558317900,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857447.659177065,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857447.760036945,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857447.860897064,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857447.961756945,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857448.062561035,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857448.163420916,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857448.264281034,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857448.365140915,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857448.466001034,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857448.566860914,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857448.667721033,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857448.768580914,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857448.869441032,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857448.970300913,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857449.071105003,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857449.171964884,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857449.272825003,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857449.373684883,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857449.474544048,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857449.575403929,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857449.676264048,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857449.777123928,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857449.877984047,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857449.978843927,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857450.079648972,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857450.180509090,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857450.281368971,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857450.382229090,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857450.483088970,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857450.583949089,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857450.684808969,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857450.785669088,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857450.886528969,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857450.987389088,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857451.088192940,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857451.189053059,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857451.289911985,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857451.390772104,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857451.491631985,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857451.592492104,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857451.693351984,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857451.794212103,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857451.895071983,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857451.995932102,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857452.096735954,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857452.197596073,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857452.298455954,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857452.399316072,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857452.500175953,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857452.601036072,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857452.701895952,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857452.802756071,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857452.903615952,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857453.004420996,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857453.105281115,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857453.206140995,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857453.307001114,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857453.407860041,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857453.508719921,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857453.609580040,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857453.710439920,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857453.811300039,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857453.912159920,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857454.012976885,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857454.113837004,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857454.214696884,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857454.315557003,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857454.416416883,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857454.517277002,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857454.618136883,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857454.718997002,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857454.819856882,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857454.920717001,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857455.021507978,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857455.122368097,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857455.223227024,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857455.324086905,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857455.424947023,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857455.525806904,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857455.626667023,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
1660857455.727526903,1651,1651,1651,YES,0,0,YES,YES,YES,YES,,,
