window,offset_sec_from_first_imu,scan_start_stamp,raw_point_count,raw_message_hash_equal,legacy_point_count,imu_deskew_point_count,point_count_preserved_and_equal,ordered_point_delta_mean_m,ordered_point_delta_median_m,ordered_point_delta_p95_m,ordered_point_delta_max_m,legacy_xyz_sha256,imu_deskew_xyz_sha256,imu_deskew_status,imu_deskew_max_state_gap_sec,imu_deskew_state_samples_in_scan,imu_deskew_max_velocity_mps,imu_deskew_max_acc_world_mps2,imu_deskew_max_gyro_radps,imu_deskew_processing_ms,legacy_adapter_success,legacy_imu_coverage,legacy_velocity_seed_mps,legacy_full_delta_p95_m,imu_ndt_converged,imu_ndt_iterations,imu_pcl_registration_score,legacy_ndt_converged,legacy_ndt_iterations,legacy_pcl_registration_score,imu_initial_to_raw_ndt_translation_m,legacy_initial_to_raw_ndt_translation_m
high_dynamic,139.054072142,1660857531.569976091,20981,YES,20981,20981,YES,0.0416977743,0.0409620929,0.0842957782,0.178711887,4f4ef55c8a271bff97a4d22d0ec1c435d6bdc77e69cf2d0e11163acb73a144ee,e930af025880e076be9a24f861ca5717f923c77d597ac71850d34fbc2f3b5255,PUBLISHED,0.0050079822540283203,20,0.80404385307055248,10.320812320144528,0.5708777899813815,9.7960239999999992,1,complete,1.378058457,1.009722084,1,1,0.27110006795568292,1,2,0.23908998410335958,0.0060225630247399235,0.063401553882932019
high_dynamic,139.154932022,1660857531.670835972,20912,YES,20912,20912,YES,0.0308616141,0.0315427339,0.0617941749,0.207141284,c3cedcfc9034a4d26b59bf87a2f658ebfe7927d0c0686d975773bf53704135c7,64fc8b66d6898b979e52d17cde81e9a83ee367e16f2b754f6e6096390eca29d7,PUBLISHED,0.0050082206726074219,20,0.78700422797331226,12.929592087363339,1.0295003602234303,13.376818999999999,1,complete,1.001620473,1.385593883,1,1,0.24741042220424528,1,2,0.22582666260904391,0.018372737378519362,0.062255340379619835
high_dynamic,139.255792141,1660857531.771696091,21097,YES,21097,21097,YES,0.0409713504,0.0222762105,0.126869178,0.587950996,1c1964fc79b98e83fa5fd17fe0b682ef7c54e2755d95b90529539ab3bd09d282,6a5a78a0684ecf0b01fd25a253187a01aaa1be52c373ea0ba51312833d4c8733,PUBLISHED,0.0050079822540283203,20,0.90635468278951481,44.230297938819106,2.2681340611457301,8.6618619999999993,1,complete,0.908412126,3.294484919,1,2,0.29865538450231333,1,2,0.29258262574645155,0.051415814075202314,0.061533720358380041
high_dynamic,139.356652021,1660857531.872555971,21561,YES,21561,21561,YES,0.0337922147,0.0255499056,0.092862433,0.411574592,3400fe36283cee76420779d58209cc80ae0e09ee3c3c870d4554ef9e3ecd4fd6,1caab134e49b7fdc632092a982b67ea8557fe977dc5beed98808010b5d2b2fad,PUBLISHED,0.0099999904632568359,20,0.61398401279561099,20.724116477284934,1.5518766033605647,10.592572000000001,1,complete,0.705318317,3.462821160,1,1,0.31719405480363222,1,2,0.33811167250836399,0.022617027284283782,0.06297265098121245
high_dynamic,139.457512140,1660857531.973416090,22128,YES,22128,22128,YES,0.0452970763,0.0463879141,0.0946808518,0.170062597,1c0052aefb9fcf7ef00c57a86e360e7753da016a906ccb3b6a7c55c108c9ffef,cdedf0ea1c7802faccc153b02112151c60b9e29aafe2bbdf887923310030cb9e,PUBLISHED,0.0050082206726074219,20,0.90964833456402794,9.8509832289480528,1.6556930957368201,10.287083000000001,1,complete,0.752065550,2.856829142,1,3,0.28259250968368566,1,3,0.2820563519897093,0.01851470505867692,0.0841043350948944
high_dynamic,139.558315992,1660857532.074219942,22176,YES,22176,22176,YES,0.049392682,0.038222672,0.154128196,0.439918453,9ef38bbcb6dcf8e1b4cc9f6ea7fa8ab5ab4594de14449a05958a35880122a0c6,b4691028a04ae0f6a8fc45be9eb7c46b4d7eb7c0fe9f447eba311d346d7520a2,PUBLISHED,0.0050082206726074219,20,1.0327777322720675,40.445354318219003,2.9961577755387259,7.6740190000000004,1,complete,1.073275914,7.239456313,1,2,0.47971272962122125,1,7,0.33626393462315068,0.080419463829995985,0.14123692343633462
high_dynamic,139.659176111,1660857532.175080061,22211,YES,22211,22211,YES,0.037474567,0.0268128684,0.100734946,0.349558038,b3db78801a8524a63ba94eed918a50dc2a717fb63279ae9a4864a2dd87e3c4cc,d7e50c820ceaae7395eeefdebd0f782a74247b7617d7f38118ef958778296a97,PUBLISHED,0.0050079822540283203,20,0.89872098826000046,7.2573188025515254,2.1949551701273395,8.6851190000000003,1,complete,0.623879868,5.445208923,1,2,0.65678122260146277,1,3,0.55758934852779407,0.067105663948692204,0.1544503011517202
high_dynamic,139.760035992,1660857532.275939941,21829,YES,21829,21829,YES,0.0757103079,0.053983691,0.254269346,0.445392653,2cb217d68d350fe30b3bc9be0621bc0962be21ab1a3a8fa152d570d86d2b6874,59d5de203d585ae746f197f5766129a20b4870b2bb21e2e37f2340dad25bd3cc,PUBLISHED,0.0050082206726074219,20,1.3577998361192229,30.85366533948833,2.7536844769815652,8.2912119999999998,1,complete,1.677856953,4.041419086,1,3,3.4865064722529806,1,4,3.4802633616629466,0.10198226071088273,0.19101389292502496
high_dynamic,139.860896111,1660857532.376800060,22523,YES,22523,22523,YES,0.0563880777,0.0421717756,0.199386231,0.345311882,b1d0cf9c369b0738b53007a725cbd7debc16183c7e1a0d5db2bbe039faef804b,3ee4f2665a1fcf7af17caa5658baf952e0c2e98ddb0abdaac374aeb6f16181ae,PUBLISHED,0.0099999904632568359,19,1.3715197115262163,30.9462023358153,1.8000856471809692,12.837709,1,complete,1.815290232,2.769582193,1,1,4.2460234372475787,1,2,4.1540566225385662,0.030567954071421717,0.088926964623350924
high_dynamic,139.961755991,1660857532.477659941,22066,YES,22066,22066,YES,0.0754772583,0.0657122342,0.185649514,0.267234334,18a2233836d194e8fa650d94b279c168229bd85b3c675416fab504044065dfde,7a4f4f677e93166ee196f23e87eeaad2e2949e9a82b511c5ccd242273e6dd3b5,PUBLISHED,0.0050079822540283203,21,1.9755005671514778,12.809133931158543,1.9553927710422805,9.9350100000000001,1,complete,2.187551836,3.646028648,1,3,8.8265639243796308,1,6,8.8075644009300493,0.10254663632066596,0.26089293153774068
