selection_index,split,segment_id,scan_index,stamp,stage,candidate_id,converged,fitness,nn_median,nn_p90,nn_p95,lt0p5,lt1,lt2,delta_tx,delta_ty,delta_tz,delta_tnorm,delta_roll,delta_pitch,delta_yaw,delta_angle,d00,d01,d02,d10,d11,d12,d20,d21,d22
0,CALIBRATION,0,31,1517157222.21,A_DIRECT,-1,1,0.12518694752,0.150441721082,0.583839511871,0.918972468376,0.876625936145,0.960189199842,0.98029168309,-0.0624023091418,0.0912568798768,-0.0280295247598,0.11405051762,1.40097496066,-4.72538570864,1.49774793592,5.13351809894,0.996261858414,-0.0260480274235,-0.0823801855229,0.02411640921,0.999412497539,-0.0243660948032,0.0829665180536,0.0222882663474,0.996303427464
1,CALIBRATION,1,384,1517157257.82,A_DIRECT,-1,1,0.363036808104,0.441006332636,0.818350994587,3.23092126846,0.611990950226,0.910256410256,0.921568627451,-2.09263969779,1.02465496792,6.8756930307,7.25976675662,8.57774370966,-7.03732617756,1.72742856422,11.1414086307,0.992018274787,-0.0299171708515,-0.12251626502,0.0115425402004,0.988918971177,-0.148028246476,0.125586694973,0.145431938423,0.981369291722
2,CALIBRATION,2,742,1517157293.92,A_DIRECT,-1,1,0.978442129531,0.5570281744,2.09691929817,2.77798924446,0.468543774747,0.683238011439,0.892652881654,7.57745501724,-13.0215945965,15.0284590013,21.2799043778,166.102244106,178.097005034,142.542151459,40.1251137475,0.793368502066,0.607843477452,0.0332075879482,-0.596707550684,0.765715235,0.240058478319,0.120490015624,-0.210268751973,0.970194256408
3,CALIBRATION,3,848,1517157304.61,A_DIRECT,-1,0,1.79769313486e+308,14.0600194931,15.0409152985,15.1128851891,0,0,0,7.1869728302e-07,6.22016202101e-06,7.05677472457e-07,6.30118417818e-06,179.999999875,179.999999986,-179.999999967,0,1.0000000101,2.01285166498e-10,2.50155262092e-10,5.77390955253e-10,1.00000000702,2.18254594953e-09,3.74034325376e-11,4.10501001247e-09,1.00000000925
4,CALIBRATION,4,1298,1517157350,A_DIRECT,-1,0,1.79769313486e+308,19.7916088104,20.5561637878,20.8539333344,0,0,0,9.65387471297e-07,-1.11203151221e-06,-8.53259972899e-07,1.70195171354e-06,4.96544940963e-08,5.40288673822e-08,5.17655041128e-07,0,0.999999996181,1.85432735135e-08,9.42981623342e-10,9.03478480983e-09,0.999999994851,-8.66634430885e-10,1.01259431395e-09,-1.32034938538e-10,1.00000002365
5,CALIBRATION,5,1468,1517157367.14,A_DIRECT,-1,0,1.79769313486e+308,19.6031665802,20.3827953339,20.5293731689,0,0,0,-4.55719145975e-06,-4.87818675765e-06,9.31602245013e-07,6.74036963276e-06,1.50837806233e-08,1.36860229866e-08,-7.88780652642e-07,0.00772910092769,0.999999972377,2.48434138413e-08,2.38866156022e-10,-1.37668196374e-08,1.00000001251,-2.63261634714e-10,2.21614163132e-09,-4.23898795232e-09,0.999999996918
6,CALIBRATION,6,1892,1517157409.9,A_DIRECT,-1,0,1.79769313486e+308,14.1340165138,15.0512460709,15.1213919163,0,0,0,-2.00439463693e-07,-5.27274346496e-06,3.17358209934e-07,5.28608700829e-06,179.999999918,179.999999879,-179.999999843,0,0.999999982242,-5.22760689597e-09,2.11055185828e-09,2.74169934412e-09,1.00000001186,1.43430305133e-09,-1.8547044317e-09,6.73675143448e-10,1.00000002167
7,CALIBRATION,7,2008,1517157421.6,A_DIRECT,-1,0,1.79769313486e+308,13.9249639511,14.9759126663,15.0641321182,0,0,0,-2.75721194498e-06,2.24903121193e-06,3.76246048095e-07,3.57797710872e-06,179.999999947,-179.999999888,-179.999999314,0,1.00000000239,-2.59966500193e-09,-1.94965979472e-09,1.19726031398e-08,1.0000000336,9.24274504155e-10,4.67431024442e-10,1.00128850697e-09,1.00000001179
8,CALIBRATION,8,2354,1517157456.5,A_DIRECT,-1,1,0.025986940133,0.0855481438339,0.124110158533,0.137577039003,0.988566402814,0.992963940193,1,1.01048426137,-0.717611838832,6.94757077281,7.05725051539,179.784476854,175.030843581,-179.712523911,4.98083382301,0.996230305616,-0.00499829088771,0.0866195759241,0.00469152754285,0.999982517197,0.00374744295389,-0.0866369005539,-0.00332689044587,0.996234771336
9,CALIBRATION,9,2757,1517157497.14,A_DIRECT,-1,1,0.0707329922697,0.116258494556,0.440036010742,0.578045457602,0.924105844722,0.990404187264,1,0.190140737635,0.267918304271,-0.349357930483,0.479567181387,174.590976084,-178.54383213,-179.713868773,5.61151236594,0.99966518808,-0.00499211210303,-0.0254122030008,0.00736713451043,0.995523375212,0.0942347964176,0.0248280117893,-0.0943903122792,0.995226982083
