mode,segment,local_increment_n,local_translation_rmse_m,local_rotation_rmse_deg,corrected_n,corrected_translation_rmse_m,corrected_translation_p95_m,corrected_rotation_rmse_deg
POSE_VEL_UPDATE,0-50s,490,0.016816666750560684,0.589921159988209,491,0.25336458159839714,0.4057393858870906,2.3779575579425654
POSE_VEL_UPDATE,50-100s,496,0.02667800690819671,0.9103985911098403,496,0.629146892509434,1.1773414276828975,2.3948722003302114
POSE_VEL_UPDATE,100-150s,495,0.03799735347010539,0.9003661447475169,495,1.554321930562952,1.8088520448516074,5.099529829936262
POSE_VEL_UPDATE,150-200s,496,0.27477403262517675,0.8775901866470817,496,22.958868951739632,44.51245043104052,12.91555420382985
POSE_VEL_UPDATE,200-250s,495,0.25963988907248997,0.8027603537885462,495,28.145411394272887,40.59567822459534,17.925166349789254
POSE_VEL_UPDATE,250-300s,496,0.18380250146766153,0.6700697304002244,496,17.14696487360193,33.61605975599595,15.51617988902346
POSE_VEL_UPDATE,300-350s,496,0.15659197125018637,0.9467678427619901,496,8.061232321016913,17.32411366878021,5.588808387297107
POSE_VEL_UPDATE,350s-end,661,0.40694157146429066,0.5888357836895929,661,41.72793514478117,53.31607321119314,5.827171917661609
POSE_ONLY_UPDATE,0-50s,490,0.2890226418806889,0.5899211599882094,491,0.2862003138066025,0.4136041999514665,2.7208785058487788
POSE_ONLY_UPDATE,50-100s,496,0.5976133771608355,0.9103985911098402,496,0.6553740406572124,1.1925766052523528,2.4975500515201943
POSE_ONLY_UPDATE,100-150s,495,0.5859184906254297,0.9003661447475176,495,1.5805837802355949,1.844393607138583,5.34007382702535
POSE_ONLY_UPDATE,150-200s,496,1.1545487443827724,0.8775901866470838,496,22.97992802255037,44.403933834215565,12.74127875443557
POSE_ONLY_UPDATE,200-250s,495,1.179808614053494,0.8027603537885452,495,28.22116759570966,40.826542759804155,18.395335181720014
POSE_ONLY_UPDATE,250-300s,496,0.9268718730965724,0.6700697304002242,496,17.13967056045177,33.633599483618426,15.96584812186452
POSE_ONLY_UPDATE,300-350s,496,1.5298468163252463,0.9467678427619901,496,8.029535173195981,17.28013577124002,8.359711090884389
POSE_ONLY_UPDATE,350s-end,661,2.3361571992207923,0.5888357836895929,661,41.764328535706376,53.62067166465279,6.069949717878807
FULL_UPDATE,0-50s,490,0.016378843524973857,0.5899310928887558,491,0.2524884207820452,0.4056383773969966,1.9980265244019741
FULL_UPDATE,50-100s,496,0.02536538259618079,0.910382237210887,496,0.6271268632277925,1.178007430489576,2.2499411790168984
FULL_UPDATE,100-150s,495,0.03783490574087552,0.9003509679323551,495,1.5556363203801031,1.8128152209535018,4.134185094604893
FULL_UPDATE,150-200s,496,0.2804334998374872,0.8776125655099735,496,22.968057571835548,44.582254272358995,12.605871557383871
FULL_UPDATE,200-250s,495,0.2626243071415483,0.802817447597735,495,28.16081877384434,40.617952460541815,18.106244183369633
FULL_UPDATE,250-300s,496,0.18337968254148743,0.6700536921005743,496,17.154813677052317,33.596109630587236,15.549935270124106
FULL_UPDATE,300-350s,496,0.15178198395810388,0.9468193429280303,496,8.061316427252054,17.32255016103639,5.469157044939295
FULL_UPDATE,350s-end,661,0.41270766484953997,0.5888869472454996,661,41.73934484260686,53.36940041349662,4.933478678746595
