frame_index,transaction_id,stamp_ns,eval_time_s,corrected_translation_error_m,corrected_error_bin,delta_position_norm_m,delta_position_x,delta_position_y,delta_position_z,delta_rotation_norm_deg,delta_rotation_x_rad,delta_rotation_y_rad,delta_rotation_z_rad,delta_velocity_norm_mps,delta_velocity_x,delta_velocity_y,delta_velocity_z,delta_gyro_bias_norm,delta_gyro_bias_x,delta_gyro_bias_y,delta_gyro_bias_z,delta_accel_bias_norm,delta_accel_bias_x,delta_accel_bias_y,delta_accel_bias_z,delta_gravity_norm_mps2,delta_gravity_x,delta_gravity_y,delta_gravity_z,gravity_direction_delta_deg
1,1,1660857393702086285,0.504279375,1.43048962454e-17,<0.5m,0.0257540798435,0.0133333895922,0.000526590740587,-0.0220276202247,0.790490270181,0.00151779379598,0.0136192694708,-0.00159986587711,0.0266094974328,0.0262085993943,-0.00248310602886,-0.00387412646488,2.29415122717e-07,-2.8784127519e-08,-2.2572312226e-07,2.918637715e-08,3.82367419745e-07,-1.57227676384e-07,-1.25843624068e-08,3.48318726577e-07,1.67002860428e-07,1.66622237437e-07,1.12687791082e-08,1.7763568394e-15,8.5377364625159387e-07
2,2,1660857393802946404,0.605139256,0.00629354762765,<0.5m,0.00703320744823,0.000315051251358,0.00206565760242,-0.0067156390901,0.250497937311,-0.00101369551885,0.00424975896499,0.000162710134774,0.0187664674797,0.0102363233291,0.00673246799207,-0.0142151982437,4.55001191899e-06,9.08017404633e-07,-4.45550952266e-06,-1.62934801054e-07,3.29113553198e-06,4.51498747555e-07,-8.80317501983e-07,3.13891112753e-06,8.79912634906e-07,-3.08936561746e-07,8.23895895052e-07,3.5527136788e-14,5.1933023447752841e-06
3,3,1660857393903806285,0.705999136,0.0145844919028,<0.5m,0.00136668201813,0.00035779180853,0.000351080782355,-0.00127143503361,0.182210543816,-0.000944607768676,0.00303544406214,8.5449866182e-05,0.0093503639576,0.00766923239026,0.00323742259022,-0.00425808356613,9.96353905659e-06,2.91130506785e-06,-9.52504328907e-06,-2.6450647506e-07,1.6534078766e-06,1.0985678496e-06,7.99414501377e-08,1.23309190686e-06,1.01166595432e-06,-1.00735105825e-06,-9.33372839938e-08,5.86197757002e-14,5.9764155237611605e-06
4,4,1660857394004610375,0.806803226,0.0300231143762,<0.5m,0.00409229167121,0.00307446039008,0.00132765869356,-0.00235199209725,0.121301007273,-0.000671931786683,0.00199671620094,0.000209171719643,0.0171278029067,0.0141457456462,0.00576889028821,-0.00774463797505,1.22207816378e-05,3.79212963663e-06,-1.15495407932e-05,-1.25513510221e-06,4.01620025034e-06,-2.10024459783e-06,-1.11910421802e-06,3.23518822162e-06,2.38289824273e-06,2.12728906652e-06,1.07370632051e-06,1.22568621919e-13,1.3924626773561162e-05
5,5,1660857394105470255,0.907663345,0.0355084735833,<0.5m,0.00214612486818,0.00110737087285,-6.7866709411e-05,0.00183711072327,0.118555051047,-0.00139972493386,0.00151300569192,0.000181860235654,0.00877951845877,0.00643573080265,0.00285847260603,0.0052431333918,2.15966914857e-05,1.49085179662e-05,-1.55120086089e-05,-1.87903275539e-06,3.94028350134e-06,5.09240127915e-07,2.41607478213e-06,-3.07068253165e-06,2.37937977404e-06,-5.72558483167e-07,-2.3094642003e-06,-1.97175609173e-13,1.3924626773561162e-05
6,6,1660857394206330374,1.008523464,0.040728997797,<0.5m,0.00311865398139,-0.00182821180443,-0.00159504356461,0.00195945918069,0.0737828445532,-0.00091403231411,0.00089648781262,0.000138433322963,0.00575088306704,-0.0024796505994,-0.0018098969283,0.00486294787805,2.22369341622e-05,1.56905646536e-05,-1.56047584587e-05,-2.18607759056e-06,9.0521900649e-06,5.83251978355e-06,5.51126937697e-06,-4.1892442994e-06,7.79257912897e-06,-5.69413038424e-06,-5.31988427022e-06,3.12816439418e-12,4.5531036937588745e-05
7,7,1660857394307190255,1.109383345,0.0704088712825,<0.5m,0.00428398936198,0.00241698609051,-0.00106827041908,0.00337187505753,0.0920484506775,-0.00128577753005,0.000960523349216,7.18974013705e-05,0.0107430571341,0.00779192926825,0.00106114997849,0.00731936305899,3.55994342249e-05,2.98471454063e-05,-1.93334107374e-05,-1.63916365414e-06,1.18744846961e-05,-3.03795248678e-06,7.51857575485e-06,-8.67440200273e-06,7.6540100988e-06,2.73711200325e-06,-7.1478730035e-06,5.74651437546e-12,4.4707096996233396e-05
8,8,1660857394408050373,1.210243464,0.101053797364,<0.5m,0.00343754955379,-0.000590592103614,-0.0017332569704,0.00290925560522,0.0604029007016,-0.000812242026725,0.00066816062363,7.22779300675e-05,0.00572296916966,0.000783852232994,-0.000973006745832,0.00558490910098,3.38705737638e-05,2.65756708705e-05,-2.08830801125e-05,-2.20146539423e-06,1.50462094221e-05,5.23836340718e-06,1.00928209647e-05,-9.85306712456e-06,1.09909360575e-05,-5.21719032976e-06,-9.67375834323e-06,2.0296653247e-11,6.420355113026257e-05
9,9,1660857394508910254,1.311103344,0.126633058134,<0.5m,0.00427179344674,0.000729839925809,-0.00131696264034,0.00399764459879,0.0542656052451,-0.000711732441378,0.000620814037237,7.10690584185e-05,0.0076210008894,0.00324843880817,1.42110320853e-05,0.00689398998493,3.7826325165e-05,2.991398219e-05,-2.29904358937e-05,-2.72477566828e-06,2.06169141858e-05,1.13453670777e-06,1.11954766732e-05,-1.72751636479e-05,1.07281923338e-05,-1.42656306189e-06,-1.06329219211e-05,3.1533886613e-11,6.266954457720426e-05
10,10,1660857394609770373,1.411963463,0.154675157552,<0.5m,0.00240614430223,-5.77800596874e-05,-0.000593747423372,0.00233102034849,0.0307359695156,-0.000218052071804,0.000490106782533,4.54510379418e-06,0.00398543124469,0.00161901395551,-0.000164855444339,0.00363803225666,2.70536115292e-05,1.20452846883e-05,-2.42220232434e-05,-3.20317877877e-07,1.52183992991e-05,5.26822780792e-06,5.71730263447e-06,-1.30827330317e-05,7.60000880767e-06,-5.32589602981e-06,-5.42171240068e-06,2.63273847168e-11,4.4388019483958761e-05
