mode,ref_ns,stamp_ns,measurement_x,measurement_y,measurement_z,innovation_x,innovation_y,innovation_z,innovation_norm,measured_innovation_norm,position_correction,velocity_correction,rotation_correction_deg,sigma,pnp_inliers,inlier_ratio,reprojection_rmse_px,update_ms
VISUAL_XYZ_005,1660857393704842966,1660857393786305998,-0.064773664120987395,-0.029346676231578661,-0.05549935267258873,-0.0025062655548778803,0.00017052186785502035,6.8239289341895382e-06,0.0025120691282268077,0.0025120691282268077,0.0023849331891741456,0.0047567988529640913,0.0053722524316424962,0.050000000000000003,41,1,0.031106582524735922,0.019765000000000001
VISUAL_XYZ_005,1660857393786305998,1660857393908525486,-0.064573166574290755,-0.029531168367934704,-0.05545145611831203,-0.0080584690422702415,-0.0012638031114500965,0.0040697094664080419,0.0091158464637525593,0.0091158464637525593,0.0074708534137746269,0.051003567200371115,0.028721463047291843,0.050000000000000003,42,1,0.037140033297753436,0.015226
VISUAL_XYZ_005,1660857393908525486,1660857393989997350,-0.063037910945154929,-0.029215734995654566,-0.056278467223677964,-0.0031786108401984092,9.6624527211618128e-05,-5.2222292301680462e-05,0.0031805078746167171,0.0031805078746167171,0.0022255744694835919,0.012433180725366736,0.013532508459362253,0.050000000000000003,45,1,0.035469821724464841,0.014806
VISUAL_XYZ_005,1660857393989997350,1660857394112203838,-0.061926650835207729,-0.029083935472826863,-0.056262970794322902,-0.011193257447494248,-0.0013442922181225031,0.0024035096773332362,0.011527054811296103,0.011527054811296103,0.0075840396805511162,0.030768809771838317,0.046228311524814693,0.050000000000000003,39,1,0.046711790278775582,0.014736000000000001
VISUAL_XYZ_005,1660857394112203838,1660857394193683222,-0.057878683278495574,-0.02886684064080413,-0.057007503595324527,-0.0051601597052121848,-0.00079049020154472321,0.00027341860387975619,0.0052275119009889655,0.0052275119009889655,0.0028841451822170013,0.010368759731397958,0.028005815151335836,0.050000000000000003,39,1,0.049451354376781873,0.014945999999999999
VISUAL_XYZ_005,1660857394193683222,1660857394315901478,-0.055562664176433421,-0.028513400991709646,-0.057133359719288637,-0.015774657076474713,-0.0020998078986673961,0.0010760831225269316,0.015950139622532056,0.015950139622532056,0.0084235597191951121,0.026439071026892854,0.098497169754920275,0.050000000000000003,40,0.97560975609756095,0.038758880779078964,0.017250999999999999
VISUAL_XYZ_005,1660857394315901478,1660857394397370190,-0.048099610119245469,-0.027525820584906519,-0.057647682947338082,-0.0080139360009643876,-0.0012569807277155801,0.00013764084238782059,0.0081130830008631551,0.0081130830008631551,0.0037975295031627268,0.011778795597092568,0.058449082784171671,0.050000000000000003,40,1,0.033372008664892254,0.014737
VISUAL_XYZ_005,1660857394397370190,1660857394519585350,-0.043882629570024659,-0.02697322272781397,-0.057587196587557322,-0.021463812672065725,-0.0034072460890425815,0.00031479345252966029,0.021734849326613258,0.021734849326613258,0.010230350131540611,0.03062704361487071,0.16701285170692237,0.050000000000000003,37,0.94871794871794868,0.043223003641887407,0.014877
VISUAL_XYZ_005,1660857394519585350,1660857394601056710,-0.032541782596937567,-0.024983828279315595,-0.058025052803317274,-0.010572769153510086,-0.0018287965454212469,-0.0002773771298811914,0.010733353737305978,0.010733353737305978,0.0046757467400937299,0.014261858515868513,0.08539275772611743,0.050000000000000003,38,1,0.042153812393524656,0.014248
VISUAL_XYZ_005,1660857394601056710,1660857394723268574,-0.026686804154287883,-0.023932746025875959,-0.057823626422230372,-0.027487836729686126,-0.0040017680446641016,-0.00020362000430988736,0.027778350862989177,0.027778350862989177,0.012552972407836047,0.03741637461198364,0.21689946419502359,0.050000000000000003,35,1,0.084656039128141514,0.014248
VISUAL_XYZ_005,1660857394723268574,1660857394804753086,-0.011557191033790942,-0.021816547213416186,-0.057635333576848684,-0.012566936073678495,-0.0025379394716770996,-0.0001146124072524124,0.01282116044068222,0.01282116044068222,0.0054407476352670058,0.01630152801130981,0.095430534619587157,0.050000000000000003,39,0.95121951219512191,0.047056300738472043,0.014388
VISUAL_XYZ_005,1660857394804753086,1660857394926956902,-0.0043994553418644734,-0.0199456378286831,-0.05769678069298436,-0.032295695941607756,-0.0046819211406529965,-0.00078687252548909764,0.032642786803388016,0.032642786803388016,0.014452627089926527,0.041808466572501958,0.22649777225010378,0.050000000000000003,35,0.94594594594594594,0.041000728345969184,0.013759
VISUAL_XYZ_005,1660857394926956902,1660857395008447158,0.013736004667730896,-0.017298771379731681,-0.05707388684025496,-0.014193440983831169,-0.0028987739134997154,-0.00019310670431420263,0.014487717120455377,0.014487717120455377,0.0060127760046399586,0.017250957079602267,0.091781601152098213,0.050000000000000003,34,0.89473684210526316,0.03803956847267681,0.014317
VISUAL_XYZ_005,1660857395008447158,1660857395130652646,0.021927311054186559,-0.015332905542599251,-0.057120967372030658,-0.03623460988723072,-0.0053256843753367762,-0.00098990374612487747,0.036637273058622917,0.036637273058622917,0.015819226635814174,0.043681947240939011,0.21361113463474879,0.050000000000000003,27,0.90000000000000002,0.11702076563451583,0.014945999999999999
VISUAL_XYZ_005,1660857395130652646,1660857395212127838,0.041009678243452044,-0.013893461618873859,-0.053308596668183036,-0.017237871393726248,-0.0048646051959405148,0.0027440849528273248,0.018120115786808607,0.018120115786808607,0.0072943312485462706,0.019888902613578622,0.094768152173977507,0.050000000000000003,32,0.88888888888888884,0.4713765896951439,0.014666999999999999
