mode,metric,mean,rmse,median,p95,max
VISUAL_XYZ_005,innovation_norm,0.19229872819216495,0.3347999391165762,0.056454365320084784,0.8560642913456722,1.715202098529681
VISUAL_XYZ_005,measured_innovation_norm,0.19229872819216495,0.3347999391165762,0.056454365320084784,0.8560642913456722,1.715202098529681
VISUAL_XYZ_005,position_correction,0.07960255716447288,0.1403039303744741,0.022798898391050496,0.3412062530537273,0.8963524139678732
VISUAL_XYZ_005,velocity_correction,0.16890764917499376,0.2949249924420766,0.047948972939987525,0.7262366555563203,1.8252065564577569
VISUAL_XYZ_005,rotation_correction_deg,0.34133375948582256,0.5969248298348809,0.09758183780836058,1.4769138831102375,3.6376011564380772
VISUAL_XYZ_005,update_ms,0.014876568257491677,0.015285291671172258,0.014387,0.015645,0.078572
VISUAL_XY_005,innovation_norm,0.1929269359852478,0.3351747713584983,0.05783271098378723,0.8534881040812798,1.7331895831112563
VISUAL_XY_005,measured_innovation_norm,0.1899236660499046,0.33299807567646267,0.05379878350175341,0.8515861608455906,1.6862458315289308
VISUAL_XY_005,position_correction,0.07884369184063723,0.13985127817125978,0.021210088998451115,0.340517542695709,0.8923220672146094
VISUAL_XY_005,velocity_correction,0.16718511220405086,0.29357417741737263,0.046337489677883925,0.7263110763357276,1.813304171509018
VISUAL_XY_005,rotation_correction_deg,0.3400364432479709,0.5950267303340494,0.09763343750514518,1.4751009120773122,3.6126819145717417
VISUAL_XY_005,update_ms,0.01384979578246393,0.013905333190496902,0.013758,0.014597,0.042185
VISUAL_XYZ_003,innovation_norm,0.16655704482491895,0.3141208043439378,0.04208219925460592,0.7937347723948842,2.035711271244649
VISUAL_XYZ_003,measured_innovation_norm,0.16655704482491895,0.3141208043439378,0.04208219925460592,0.7937347723948842,2.035711271244649
VISUAL_XYZ_003,position_correction,0.08559577120253185,0.1662819799226705,0.020340930635576227,0.3931560521286606,1.2759207721472803
VISUAL_XYZ_003,velocity_correction,0.22163141858095262,0.4219582152854094,0.053803820534622834,1.0604955590360292,3.065850616310832
VISUAL_XYZ_003,rotation_correction_deg,0.4676864587799748,0.8917899250231069,0.11126521500292086,2.2767192783134207,6.345925409447845
VISUAL_XYZ_003,update_ms,0.01469305049944506,0.01487878375250948,0.014388,0.015221549999999988,0.041905
VISUAL_XYZ_010,innovation_norm,0.1907555978236258,0.3068485475604822,0.07060601093545332,0.7756722078929954,1.0878772948977515
VISUAL_XYZ_010,measured_innovation_norm,0.1907555978236258,0.3068485475604822,0.07060601093545332,0.7756722078929954,1.0878772948977515
VISUAL_XYZ_010,position_correction,0.053212153588417396,0.08507359592586441,0.01887816056208992,0.2043517082496467,0.3555525684314313
VISUAL_XYZ_010,velocity_correction,0.0881671039146256,0.14076047511810538,0.031977108058127326,0.3495043808189846,0.5830601848473671
VISUAL_XYZ_010,rotation_correction_deg,0.16627238264310668,0.26609227726777107,0.06210623486960369,0.6636021438712393,1.0943406799991362
VISUAL_XYZ_010,update_ms,0.014502308546059935,0.014536956306803937,0.014387,0.015156,0.029613
