stamp,relative_common_s,relative_r7i_s,gt_bracket_width_s,gt_nearest_dt_s,legacy_raw_translation_error_m,legacy_raw_rotation_error_deg,legacy_final_translation_error_m,legacy_final_rotation_error_deg,mature_imu_raw_translation_error_m,mature_imu_raw_rotation_error_deg,mature_imu_final_translation_error_m,mature_imu_final_rotation_error_deg,legacy_raw_to_final_translation_delta_m,legacy_raw_to_final_rotation_delta_deg,mature_imu_raw_to_final_translation_delta_m,mature_imu_raw_to_final_rotation_delta_deg,delta_raw_translation_legacy_minus_mature_m,delta_final_translation_legacy_minus_mature_m,delta_raw_rotation_legacy_minus_mature_deg,delta_final_rotation_legacy_minus_mature_deg,legacy_fitness,mature_fitness,legacy_iterations,mature_iterations,legacy_converged,mature_converged,legacy_limited,mature_limited,legacy_cloud_hash,mature_cloud_hash,legacy_source_points,mature_source_points,hq_gt_bracket_le_0p25
1660857393.6012471,0,0.403440026,0.403439998627,0.201719999313,7.3725747729e-18,0,7.3725747729e-18,0,1.42059448876e-17,0,1.42059448876e-17,0,0,0,0,0,-6.83337011469e-18,-6.83337011469e-18,0,0,0.32204132710895855,0.3210171484506853,1,1,1,1,0,0,abfb3a66bd77363d,9ef1e9c53f64bf71,1400,1400,0
1660857393.702107,0.100859880447,0.504299926,0.403439998627,0.100860118866,0.0250179789051,0.0913258371162,0.0250179789051,0.0913258371162,0.0134043768134,0.16496535597,0.0134043768134,0.16496535597,0,0,0,0,0.0116136020917,0.0116136020917,-0.073639518854,-0.073639518854,0.32793270592671303,0.32888970578468746,1,1,1,1,0,0,1076f918d82690d3,f801a9d66c63419c,1400,1400,0
1660857393.8029671,0.201719999313,0.605160026,0.201663970947,0,0.050393538958,0.0706865064414,0.050393538958,0.0706865064414,0.0262517927216,0.249556889218,0.0262517927216,0.249556889218,0,0,0,0,0.0241417462364,0.0241417462364,-0.178870382776,-0.178870382776,0.32871981205725337,0.32496573810225526,1,1,1,1,0,0,12480323acc1b30e,f95ec1e09ba594c9,1400,1400,1
1660857393.903827,0.302579879761,0.706019926,0.201663970947,0.1008040905,0.0609111239679,0.326445222444,0.0609111239679,0.326445222444,0.0490838918287,0.262459390809,0.0490838918287,0.262459390809,0,0,0,0,0.0118272321392,0.0118272321392,0.0639858316357,0.0639858316357,0.3169057312102957,0.32883468743214117,1,1,1,1,0,0,c61d25e6f51475da,1ce1ac3a07731081,1400,1400,1
1660857394.004631,0.403383970261,0.806823926,0.201719999313,0,0.068555788396,0.128963567119,0.068555788396,0.128963567119,0.0689938834765,0.421955751288,0.0689938834765,0.421955751288,0,0,0,0,-0.000438095080521,-0.000438095080521,-0.292992184169,-0.292992184169,0.33103124249349225,0.33325840906798215,1,1,1,1,0,0,22a45bff492a6b0d,94ecb7def3bc458d,1400,1400,1
1660857394.1054909,0.504243850708,0.907683826,0.201719999313,0.100859880447,0.0831718180411,0.0671854816342,0.0831718180411,0.0671854816342,0.0763473495331,0.747372835032,0.0763473495331,0.747372835032,0,0,0,0,0.00682446850796,0.00682446850796,-0.680187353398,-0.680187353398,0.3204112475079767,0.3305962399983582,1,1,1,1,0,0,8eade8994b22c846,8cae9687b2b3caf2,1400,1400,1
1660857394.206351,0.605103969574,1.008543926,0.201720237732,0,0.0948128083506,0.0361702148244,0.0948128083506,0.0361702148244,0.0796998793772,0.717793584697,0.0796998793772,0.717793584697,0,0,0,0,0.0151129289734,0.0151129289734,-0.681623369873,-0.681623369873,0.33304896478487145,0.3226130413953329,1,1,1,1,0,0,032c03891117e186,81e61bfc62cc1344,1400,1400,1
1660857394.3072109,0.705963850021,1.109403826,0.201720237732,0.100859880447,0.0850443543667,0.0844303178487,0.0850443543667,0.0844303178487,0.0954252211643,1.00548303684,0.0954252211643,1.00548303684,0,0,0,0,-0.0103808667976,-0.0103808667976,-0.921052718996,-0.921052718996,0.32464793591569363,0.31948185790943173,1,1,1,1,0,0,bab782484a2bfc05,685a039b600173c4,1400,1400,1
1660857394.408071,0.806823968887,1.210263926,0.201720237732,2.38418579102e-07,0.0589612585699,0.268748463634,0.0589612585699,0.268748463634,0.110046182789,1.37352533982,0.110046182789,1.37352533982,0,0,0,0,-0.0510849242192,-0.0510849242192,-1.10477687619,-1.10477687619,0.315560783377701,0.32970490954160464,1,1,1,1,0,0,19d04a840f39ce29,1bc144968d302ce8,1400,1400,1
1660857394.5089309,0.907683849335,1.311123826,0.201719760895,0.100859642029,0.0425021645478,0.172317316896,0.0425021645478,0.172317316896,0.115762861103,1.25734335525,0.115762861103,1.25734335525,0,0,0,0,-0.073260696555,-0.073260696555,-1.08502603836,-1.08502603836,0.30389362272198406,0.3061182595898364,1,1,1,1,0,0,79ad8e490d26bc50,cebd8e26c8960d62,1400,1400,1
