population,pose,metric,n,seed,rng,replicates,mean,mean_ci_low,mean_ci_high,median,median_ci_low,median_ci_high
PAIRED_COMMON,raw,translation,4126,20260925,NumPy PCG64,10000,-10.889373750599638,-11.208616947923355,-10.584041663973286,-12.70162036229485,-12.850112865557165,-12.624471613526552
PAIRED_COMMON,raw,rotation,4126,20260925,NumPy PCG64,10000,30.419965173127395,29.158442862381193,31.659203901849928,1.3150266053792463,1.1608758942921102,2.343833366929175
PAIRED_COMMON,final_used,translation,4126,20260925,NumPy PCG64,10000,-10.886868053079422,-11.19703473296278,-10.571505584217253,-12.703029871620334,-12.834185287466354,-12.624599819813366
PAIRED_COMMON,final_used,rotation,4126,20260925,NumPy PCG64,10000,30.391593149019407,29.187467572060328,31.63381848584412,1.3033243924927664,1.156643947979251,2.3410167964735322
