window,definition,n_common,absolute_start_stamp,absolute_end_stamp,old_relative_start_s,old_relative_end_s,legacy_raw_t_mean_m,legacy_raw_r_mean_deg,legacy_raw_t_median_m,legacy_raw_r_median_deg,legacy_raw_t_p95_m,legacy_raw_r_p95_deg,legacy_final_t_mean_m,legacy_final_r_mean_deg,legacy_final_t_median_m,legacy_final_r_median_deg,legacy_final_t_p95_m,legacy_final_r_p95_deg,legacy_fitness_mean,legacy_iterations_mean,legacy_convergence_fraction,mature_raw_t_mean_m,mature_raw_r_mean_deg,mature_raw_t_median_m,mature_raw_r_median_deg,mature_raw_t_p95_m,mature_raw_r_p95_deg,mature_final_t_mean_m,mature_final_r_mean_deg,mature_final_t_median_m,mature_final_r_median_deg,mature_final_t_p95_m,mature_final_r_p95_deg,mature_fitness_mean,mature_iterations_mean,mature_convergence_fraction,paired_raw_t_delta_mean_m,paired_raw_t_delta_median_m,paired_raw_r_delta_mean_deg,paired_raw_r_delta_median_deg,paired_final_t_delta_mean_m,paired_final_t_delta_median_m,paired_final_r_delta_mean_deg,paired_final_r_delta_median_deg
W0_PRE,R7I_FROZEN,50,1660857408.197807074,1660857413.197807074,15,20,0.04250533744993001,0.7435332932770201,0.030687847903599998,0.7010997432405,0.12106482151104998,1.3405046913849996,0.04250533744993001,0.7435332932770201,0.030687847903599998,0.7010997432405,0.12106482151104998,1.3405046913849996,0.32459164096711923,1.02,1.0,0.05780758252409,0.363431517618042,0.056896311863250004,0.3526164043835,0.09243458893156,0.7563919033196495,0.05780758252409,0.363431517618042,0.056896311863250004,0.3526164043835,0.09243458893156,0.7563919033196495,0.32355405422928696,1.02,1.0,-0.015302245074160002,-0.0275108338382,0.38010177565897807,0.3253845553360001,-0.015302245074160002,-0.0275108338382,0.38010177565897807,0.3253845553360001
W1_TRANSIENT,R7I_FROZEN,50,1660857423.197807074,1660857428.197807074,30,35,0.85404321977862,7.7258741416487995,0.3202241671775,3.1346634146600003,1.8342302769945,15.626254220215,0.8541786320368798,9.2662910635948,0.36666175408199997,10.824112843350001,1.8342302769945,16.438961367624998,0.31524842715645357,3.88,1.0,0.97617189500592,8.02787965749018,0.925117319757,9.606114961574999,1.819615882651,15.63761219085,0.98588394554736,9.09777011857852,1.001825090103,10.8503532,1.819766810571,16.07082749953,0.3550059048348394,2.8,1.0,-0.12212867522729998,0.0020012408080000987,-0.30200551584138,0.15300913320500076,-0.13170531351048,-0.003552534876000074,0.16852094501627993,0.14426877738999977
W2_P025,R7I_FROZEN,60,1660857429.197807074,1660857435.197807074,36,42,0.31279227820984995,2.8455212687931666,0.3297845834845,2.84228797726,0.3650487858132,3.4325754381175,0.3127798004902333,2.9922688199601666,0.3297845834845,2.872210233585,0.3650487858132,3.8177037827189966,0.023945341618374617,1.3166666666666667,1.0,0.2868299238096,1.9412085185699666,0.297792714272,2.022770974875,0.32552362649155003,2.4725008292905,0.28672784023681663,2.128324715451633,0.29739416235250005,2.1090824543049997,0.32552362649155003,3.230506028877496,0.023946405871100963,1.3,1.0,0.02596235440024999,0.026133160164500013,0.9043127502232,0.9409602146150001,0.02605196025341666,0.026133160164500013,0.8639441045085333,0.9347633727300001
W3_P050,R7I_FROZEN,70,1660857502.197807074,1660857509.197807074,109,116,0.7201241436911142,2.988708977415429,0.7130390929915,1.8108833342600001,0.8177389650736,8.445393407922998,0.7199618079828001,3.176621472224286,0.7126918187910001,1.8108833342600001,0.81735036497655,9.261031088585499,0.27799963171333436,1.6,1.0,0.7066693295385428,2.3497425755868426,0.711955713477,0.8620579323815001,0.8186631898644999,7.4657571681969985,0.7064850579605285,2.5470452439607283,0.711955713477,0.8620579323815001,0.8181143558886999,8.171749578435,0.26127655214923906,1.3285714285714285,1.0,0.013454814152571425,0.011989160972499968,0.6389664018285858,0.8391570412375,0.013476750022271423,0.011989160972499968,0.6295762282635573,0.8391570412375
W4_RAPID,R7I_FROZEN,49,1660857530.197807074,1660857535.197807074,137,142,3.181438852347939,17.172871999737755,2.60316114167,19.2226939933,6.290997935835999,31.32977547808,3.1819828685848774,17.844575140271633,2.60597920099,21.2210443092,6.290997935835999,31.548713149519998,9.449382618604702,2.142857142857143,1.0,2.993297737148469,16.92728148920143,2.2294299691,19.6271379861,7.784653397321998,31.56745483592,2.9940133473088566,17.63191438992898,2.23164912179,21.2657637381,7.784653397321998,31.852057398619998,9.631645024026804,1.9183673469387754,1.0,0.18814111519946938,0.21486100603399994,0.24559051053632652,0.12142574210000134,0.1879695212760204,0.21110472837500005,0.21266075034265305,-0.07785828280000118
RAW_IMU_SHOCK,ABSOLUTE_RAW_IMU_PEAK_PLUS_MINUS_1S,20,1660857532.043056,1660857534.043056,,,3.5284275533619995,22.7464482577475,3.7263123084850003,25.368992648050003,5.467465733211,31.426759207745,3.5297752252335,24.336143816211994,3.726562328295,26.25657789045,5.467465733211,32.387384908695,12.729808313462023,2.9,1.0,2.7818532117026,22.760924602210004,2.67747453016,25.4975893297,4.7792708206045,31.718862759435,2.7835686154919,24.419516432480503,2.67790743168,26.53146082715,4.7792708206045,32.78085993377,12.609430633930398,2.6,1.0,0.7465743416594,0.7875406031549999,-0.014476344462500058,-0.08198590140000128,0.7462066097416,0.787564229395,-0.08337261626850005,-0.18716759395000082
BROAD_HIGH_DYNAMIC,R7I_RELATIVE_BROAD_INTERVAL,296,1660857531.197807074,1660857561.197807074,138,168,12.948519272200818,37.732983309932536,12.481121289050002,42.477211038549996,21.949887220775,44.711810291700004,12.949316080768892,37.904520001508075,12.481121289050002,42.531561326,21.949887220775,44.711810291700004,14.953965572165279,1.8412162162162162,1.0,9.906336274046565,40.198492855436584,9.491627847785,45.095444040299995,19.634219366125002,47.5151243142,9.906449887890345,40.37381236013203,9.491627847785,45.283356108099994,19.634219366125002,47.5223324378,15.695954545887776,1.3918918918918919,1.0,3.0421829981542534,3.890034069884999,-2.465509545504054,-2.672662502449999,3.0428661928785474,3.890034069884999,-2.4692923586239526,-2.672662502449999
