population,pipeline,pose_type,count,translation_mean_m,translation_rmse_m,translation_median_m,translation_p95_m,translation_max_m,translation_std_m,rotation_mean_deg,rotation_rmse_deg,rotation_median_deg,rotation_p95_deg,rotation_max_deg,rotation_std_deg
FULL_SUPPORTED,legacy,raw,4130,31.923717381266105,41.96187338571424,32.3746172829,64.424135248575,68.1564586934,27.23371231763605,62.751331307435365,80.58519885949339,67.0637588486,138.66995994974997,178.399796208,50.559318571046596
FULL_SUPPORTED,legacy,final_used,4130,31.925303043519914,41.96428663631411,32.3746172829,64.47269891118498,68.1564586934,27.235571932201996,62.77279147118698,80.51817076832886,67.32459168195001,138.92464910434992,178.827388842,50.42571243713512
FULL_SUPPORTED,mature_imu,raw,4126,42.843995107587354,55.59988771408267,56.867708822249995,83.7162032859,85.692856052,35.436416255592654,32.392017471046174,43.27946450207621,31.41920596305,87.36539450395,111.884917645,28.703122682765965
FULL_SUPPORTED,mature_imu,final_used,4126,42.843076609560526,55.59877249851681,56.867708822249995,83.71743829865,85.6932648211,35.43577697707723,32.44187046371678,43.27683616796137,31.3997806936,87.35204590762501,111.884917645,28.642792977012387
PAIRED_COMMON,legacy,raw,4126,31.954621356987765,41.98220865087605,32.71536311476618,64.42709788829617,68.15645869343291,27.22880858828078,62.811982644173284,80.62425129303641,67.16528907258922,138.6938040705075,178.39979620846447,50.54626329285635
PAIRED_COMMON,legacy,final_used,4126,31.956208556480764,41.98462307097163,32.71536311476618,64.4879344468977,68.15645869343291,27.230668539466098,62.83346361273594,80.55719071894313,67.37448966051733,138.97937945162715,178.82738884246493,50.412466979460206
PAIRED_COMMON,mature_imu,raw,4126,42.8439951075874,55.599887714082634,56.867708822215505,83.71620328588118,85.69285605200837,35.43641625559255,32.39201747104589,43.27946450207538,31.419205963032528,87.36539450392948,111.88491764525298,28.70312268276503
PAIRED_COMMON,mature_imu,final_used,4126,42.84307660956019,55.598772498516446,56.867708822215505,83.71743829864724,85.69326482114504,35.43577697707707,32.44187046371654,43.27683616796086,31.399780693601034,87.35204590763348,111.88491764525298,28.642792977011894
PAIRED_COMMON,legacy_minus_mature,raw,4126,-10.889373750599638,14.932721543806021,-12.70162036229485,0.7702661076485624,8.143125432744585,10.218009200651569,30.419965173127395,50.94637610026526,1.3150266053792463,98.61776775406648,139.57579550640094,40.86757830622455
PAIRED_COMMON,legacy_minus_mature,final_used,4126,-10.886868053079422,14.930063550495396,-12.703029871620334,0.7702661076485624,8.143125432744585,10.216795075593414,30.391593149019407,50.92747631980431,1.3033243924927664,98.61169217275996,139.57579550640094,40.86513073720315
HQ_COMMON,legacy,raw,4106,31.986750715694015,41.99852173854319,33.0525585792501,64.45984470451465,68.15645869343291,27.21623792655651,62.920300123181875,80.71996997900084,67.31962813773416,138.96674659484654,178.39979620846447,50.56430940712544
HQ_COMMON,legacy,final_used,4106,31.98834544304644,42.00094667035256,33.0525585792501,64.50703692921235,68.15645869343291,27.218105683940056,62.942392836355246,80.6527366904415,67.56777150046624,139.0771846041096,178.82738884246493,50.42934780156912
HQ_COMMON,mature_imu,raw,4106,42.90282390367928,55.636873535734914,56.90081157031348,83.71743829864724,85.69285605200837,35.42328892016165,32.511497287676825,43.37376414156507,32.15394537755085,87.37638809166818,111.88491764525298,28.710380699696383
HQ_COMMON,mature_imu,final_used,4106,42.90190115691878,55.63575258104735,56.90081157031348,83.71796386684557,85.69326482114504,35.42264589752562,32.561692151688234,43.37171601359973,31.885645759800745,87.36539450392948,111.88491764525298,28.650339512526337
HQ_COMMON,legacy_minus_mature,raw,4106,-10.916073187985253,14.95583248710185,-12.70353597355815,0.7015508436013214,8.143125432744585,10.22331998603196,30.408802835505053,50.94289197016847,1.3180173438601008,98.74961919558179,139.57579550640094,40.87154208487409
HQ_COMMON,legacy_minus_mature,final_used,4106,-10.913555713872336,14.953164863778595,-12.704129366443787,0.7015508436013214,8.143125432744585,10.222105513227065,30.380700684666998,50.92452282785605,1.3166754866461465,98.74961919558179,139.57579550640094,40.86954919195349
