pipeline,stamp,stamp_float,relative_common_s,relative_r7i_s,gt_supported,gt_bracket_width_s,raw_translation_error_m,raw_rotation_error_deg,final_translation_error_m,final_rotation_error_deg,raw_to_final_translation_delta_m,raw_to_final_rotation_delta_deg,fitness,iterations,converged,translation_limited,rotation_limited,cloud_hash,point_count_raw,point_count_source,initial_guess_source,local_imu_prior_used
legacy,1660857392.5927031,1660857392.592703,-1.0085439682006836,-0.605103974,0,,,,,,0,0,0.31497706264864456,1,1,0,0,32441742c40b4fb4,27123,1400,current_pose,0
legacy,1660857392.693563,1660857392.693563,-0.9076840877532959,-0.504244074,0,,,,,,0,0,0.32070520549670617,1,1,0,0,ced7fb3498542e73,27375,1400,local_imu_rotation_prior,1
legacy,1660857392.7944231,1660857392.794423,-0.8068239688873291,-0.403383974,0,,,,,,0,0,0.32583444748342505,1,1,0,0,131d34fde42b45df,27514,1400,local_imu_rotation_prior,1
legacy,1660857392.895282,1660857392.895282,-0.7059650421142578,-0.302525074,0,,,,,,0,0,0.31557753248046666,1,1,0,0,205b07e5f3686b2b,27725,1400,local_imu_rotation_prior,1
legacy,1660857392.9961419,1660857392.996142,-0.6051051616668701,-0.201665174,0,,,,,,0,0,0.32410398023955556,1,1,0,0,db703168dfe9bd04,28095,1400,local_imu_rotation_prior,1
legacy,1660857393.096947,1660857393.096947,-0.5043001174926758,-0.100860074,0,,,,,,0,0,0.3281246700804851,1,1,0,0,cd39885760f18bf3,28378,1400,local_imu_rotation_prior,1
legacy,1660857393.1978071,1660857393.197807,-0.403439998626709,2.6e-08,1,0.201719999313,0.0621099203047,0.224812249512,0.0621099203047,0.224812249512,0,0,0.3388309651695038,1,1,0,0,6550a5e8ec163712,28508,1400,local_imu_rotation_prior,1
legacy,1660857393.298667,1660857393.298667,-0.3025801181793213,0.100859926,1,0.201719999313,0.0569244017301,0.254152207902,0.0569244017301,0.254152207902,0,0,0.32371641095833703,1,1,0,0,2ea5bda3a34aacdf,28519,1400,local_imu_rotation_prior,1
legacy,1660857393.3995271,1660857393.399527,-0.2017199993133545,0.201720026,1,0.403439998627,0.0418202520391,0.208095225138,0.0418202520391,0.208095225138,0,0,0.324628350214355,1,1,0,0,f7ac2b908b8e7045,28505,1400,local_imu_rotation_prior,1
legacy,1660857393.500387,1660857393.500387,-0.1008601188659668,0.302579926,1,0.403439998627,0.0242111224382,0.070850162492,0.0242111224382,0.070850162492,0,0,0.3339122626643491,1,1,0,0,6effef9e69fe9483,28494,1400,local_imu_rotation_prior,1
legacy,1660857393.6012471,1660857393.601247,0.0,0.403440026,1,0.403439998627,7.3725747729e-18,0,7.3725747729e-18,0,0,0,0.32204132710895855,1,1,0,0,abfb3a66bd77363d,28442,1400,local_imu_rotation_prior,1
legacy,1660857393.702107,1660857393.702107,0.1008598804473877,0.504299926,1,0.403439998627,0.0250179789051,0.0913258371162,0.0250179789051,0.0913258371162,0,0,0.32793270592671303,1,1,0,0,1076f918d82690d3,28508,1400,local_imu_rotation_prior,1
legacy,1660857393.8029671,1660857393.802967,0.2017199993133545,0.605160026,1,0.201663970947,0.050393538958,0.0706865064414,0.050393538958,0.0706865064414,0,0,0.32871981205725337,1,1,0,0,12480323acc1b30e,28504,1400,local_imu_rotation_prior,1
legacy,1660857393.903827,1660857393.903827,0.3025798797607422,0.706019926,1,0.201663970947,0.0609111239679,0.326445222444,0.0609111239679,0.326445222444,0,0,0.3169057312102957,1,1,0,0,c61d25e6f51475da,28492,1400,local_imu_rotation_prior,1
legacy,1660857394.004631,1660857394.004631,0.4033839702606201,0.806823926,1,0.201719999313,0.068555788396,0.128963567119,0.068555788396,0.128963567119,0,0,0.33103124249349225,1,1,0,0,22a45bff492a6b0d,28488,1400,local_imu_rotation_prior,1
legacy,1660857394.1054909,1660857394.105491,0.5042438507080078,0.907683826,1,0.201719999313,0.0831718180411,0.0671854816342,0.0831718180411,0.0671854816342,0,0,0.3204112475079767,1,1,0,0,8eade8994b22c846,28502,1400,local_imu_rotation_prior,1
legacy,1660857394.206351,1660857394.206351,0.6051039695739746,1.008543926,1,0.201720237732,0.0948128083506,0.0361702148244,0.0948128083506,0.0361702148244,0,0,0.33304896478487145,1,1,0,0,032c03891117e186,28516,1400,local_imu_rotation_prior,1
legacy,1660857394.3072109,1660857394.307211,0.7059638500213623,1.109403826,1,0.201720237732,0.0850443543667,0.0844303178487,0.0850443543667,0.0844303178487,0,0,0.32464793591569363,1,1,0,0,bab782484a2bfc05,28505,1400,local_imu_rotation_prior,1
legacy,1660857394.408071,1660857394.408071,0.8068239688873291,1.210263926,1,0.201720237732,0.0589612585699,0.268748463634,0.0589612585699,0.268748463634,0,0,0.315560783377701,1,1,0,0,19d04a840f39ce29,28491,1400,local_imu_rotation_prior,1
legacy,1660857394.5089309,1660857394.508931,0.9076838493347168,1.311123826,1,0.201719760895,0.0425021645478,0.172317316896,0.0425021645478,0.172317316896,0,0,0.30389362272198406,1,1,0,0,79ad8e490d26bc50,28522,1400,local_imu_rotation_prior,1
legacy,1660857394.609791,1660857394.609791,1.0085439682006836,1.411983926,1,0.201719999313,0.0245678498922,0.0593784196762,0.0245678498922,0.0593784196762,0,0,0.3040297774912064,1,1,0,0,c962e29de92d4c68,28509,1400,local_imu_rotation_prior,1
legacy,1660857394.7106509,1660857394.710651,1.1094038486480713,1.512843826,1,0.201719999313,0.00998469655872,0.0263592316612,0.00998469655872,0.0263592316612,0,0,0.3037650947267061,1,1,0,0,86e597d10ea72679,28503,1400,local_imu_rotation_prior,1
legacy,1660857394.811511,1660857394.811511,1.210263967514038,1.613703926,1,0.201663970947,0.0289374624764,0.091482744017,0.0289374624764,0.091482744017,0,0,0.3062643744416554,1,1,0,0,39ff767267da7da3,28474,1400,local_imu_rotation_prior,1
legacy,1660857394.9123709,1660857394.912371,1.3111238479614258,1.714563826,1,0.201663970947,0.0464823068937,0.215319098988,0.0464823068937,0.215319098988,0,0,0.2889994174941317,1,1,0,0,174cfc054d31007f,28500,1400,local_imu_rotation_prior,1
legacy,1660857395.013175,1660857395.013175,1.4119279384613037,1.815367926,1,0.201719999313,0.0642862691338,0.334811075139,0.0642862691338,0.334811075139,0,0,0.2898912849909954,1,1,0,0,2821c99a4f8250df,28479,1400,local_imu_rotation_prior,1
legacy,1660857395.1140349,1660857395.114035,1.5127878189086914,1.916227826,1,0.201719999313,0.0617469440203,0.552089231591,0.0617469440203,0.552089231591,0,0,0.2709742134394764,1,1,0,0,fb4f557b929db24b,28499,1400,local_imu_rotation_prior,1
legacy,1660857395.214895,1660857395.214895,1.6136479377746582,2.017087926,1,0.201719999313,0.0510581627772,0.612446161496,0.0510581627772,0.612446161496,0,0,0.2736799400991211,1,1,0,0,d65d157f91c1ac0f,28478,1400,local_imu_rotation_prior,1
legacy,1660857395.3157549,1660857395.315755,1.714507818222046,2.117947826,1,0.201719999313,0.0373383983115,0.784751432658,0.0373383983115,0.784751432658,0,0,0.25785779192350416,1,1,0,0,eed0b0e1c85f606f,28475,1400,local_imu_rotation_prior,1
legacy,1660857395.416615,1660857395.416615,1.8153679370880127,2.218807926,1,0.201719999313,0.0194639664368,0.934693259723,0.0194639664368,0.934693259723,0,0,0.26059823823567835,1,1,0,0,95453ad302329adf,28505,1400,local_imu_rotation_prior,1
legacy,1660857395.5174749,1660857395.517475,1.9162278175354004,2.319667826,1,0.201719999313,0.0160393302499,1.31642172832,0.0160393302499,1.31642172832,0,0,0.2684567320480502,1,1,0,0,b0cfe2ae952ca0e0,28533,1400,local_imu_rotation_prior,1
legacy,1660857395.618335,1660857395.618335,2.017087936401367,2.420527926,1,0.201719999313,0.0304161240331,1.41125923734,0.0304161240331,1.41125923734,0,0,0.2786539999533592,1,1,0,0,268456a8c08759c1,28510,1400,local_imu_rotation_prior,1
legacy,1660857395.7191949,1660857395.719195,2.117947816848755,2.521387826,1,0.201719999313,0.0493230884,1.46788310252,0.0493230884,1.46788310252,0,0,0.270359635020759,1,1,0,0,b683f4fbec950142,28509,1400,local_imu_rotation_prior,1
