run,ndt_hz_over_published_span,ndt_frames,ndt_converged,ekf_cpu_mean,ekf_cpu_p95,ekf_cpu_peak,ekf_rss_mean_mib,ekf_rss_peak_mib,ndt_cpu_mean,ndt_cpu_p95,ndt_cpu_peak,ndt_rss_mean_mib,ndt_rss_peak_mib
full_runA,9.91289131978194,4126,4126,13.94790488782816,16.997493600000002,17.997628,17.450607846062052,18.328125,13.49927944391408,19.997144,27.995305,118.90255817422434,119.30078125
full_runB,9.91289131978194,4126,4126,13.570870854415274,15.997816,17.997581,17.201698612768496,18.23046875,13.415763997613364,19.098517499999968,27.994722,119.23800156622912,119.73046875
